19.06.2021 12:27:41.628 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 42
19.06.2021 12:27:52.362 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41
19.06.2021 12:28:01.535 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 40
19.06.2021 12:28:10.875 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 39
19.06.2021 12:28:20.708 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 45
19.06.2021 12:28:28.409 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 44
19.06.2021 12:28:45.544 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 42.5
19.06.2021 12:35:52.861 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 42
19.06.2021 12:35:52.861 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 43
19.06.2021 12:35:52.861 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 44
19.06.2021 12:35:52.861 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 45
19.06.2021 12:35:52.861 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41
19.06.2021 12:35:52.861 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41.5
19.06.2021 12:35:52.861 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 40
19.06.2021 12:35:52.861 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 39
19.06.2021 12:37:36.053 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 42
19.06.2021 12:37:36.063 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 43
19.06.2021 12:37:36.064 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 44
19.06.2021 12:37:36.064 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 45
19.06.2021 12:37:36.064 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41
19.06.2021 12:37:36.064 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41.5
19.06.2021 12:37:36.065 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 40
19.06.2021 12:37:36.065 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 39
19.06.2021 12:37:36.065 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.5
19.06.2021 12:37:36.066 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43
19.06.2021 12:37:36.066 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.9
19.06.2021 12:38:28.999 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 42
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 43
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 44
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 45
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41.5
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 40
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 39
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.5
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.9
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.5
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43
19.06.2021 12:38:29.015 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43.0
19.06.2021 12:38:41.329 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 42
19.06.2021 12:38:41.329 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 43
19.06.2021 12:38:41.329 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 44
19.06.2021 12:38:41.329 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 45
19.06.2021 12:38:41.329 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41
19.06.2021 12:38:41.329 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41.5
19.06.2021 12:38:41.329 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 40
19.06.2021 12:38:41.329 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 39
19.06.2021 12:38:41.329 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.5
19.06.2021 12:38:41.344 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43
19.06.2021 12:38:41.344 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.9
19.06.2021 12:38:41.344 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.5
19.06.2021 12:38:41.344 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43
19.06.2021 12:38:41.344 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43.0
19.06.2021 12:38:41.344 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43.1
19.06.2021 12:39:30.133 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 42
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 43
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 44
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 45
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 41.5
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 40
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42:2}, answer = 39
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.5
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.9
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.5
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43.0
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 43.1
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 42.0
19.06.2021 12:39:30.149 [main] INFO   r.e.e.t.e.NumberEvaluator - evaluating question = сколько тебе лет {#42.5:0.5}, answer = 41.9
